Month,Day_of_1st_session,Time,Population,Male,Female,Mating,Dispersal,Notes
June,18,345,H,,FRF,1,,
June,18,2218,I,MRF,?,1,,
June,18,405,I,,77,1,,
June,6,6,A,12,,,O,
June,13,420,D,,84,1,,
June,14,330,D,,55,1,,
June,10,330,E,,80,1,,
June,12,330,E,,77,1,,
June,12,330,E,,84,1,,
June,14,330,E,,61,1,,
June,14,330,E,,63,1,,
June,14,330,E,,74,1,,
June,14,330,E,,FRF,1,,
June,16,330,E,,87,1,,
June,16,330,D,,80,1,,
June,15,330,G,,85,1,O,
June,10,330,H,,77,1,,
June,10,330,H,,FRF,1,,
June,14,330,H,,88,1,,
June,13,330,I,3,66,1,,
June,14,330,I,,62,1,O,
June,15,330,I,,59,1,O,
June,16,330,I,,78,1,N,
